# stnm1 stnm2 tt err
 SA13  SA12  17.408   1.762
 SA14  SA12  45.292  -0.764
 SA14  SA13  34.444   0.337
 SA17  SA12  57.736   3.051
 SA17  SA13  40.755   0.106
 SA17  SA14  47.062  -0.023
 SA20  SA12  71.658  -1.013
 SA20  SA13  54.541  -1.893
 SA20  SA14  41.280   0.290
 SA20  SA17  26.091   1.269
 SA22  SA12  82.665  -0.179
 SA22  SA13  65.384  -0.768
 SA22  SA14  62.132  -0.539
 SA22  SA17  25.508   2.041
 SA22  SA20  23.224   0.891
 SA23  SA12  86.542  -0.911
 SA23  SA13  69.663   0.144
 SA23  SA14  51.548   0.808
 SA23  SA17  40.505  -0.163
 SA23  SA20  15.640  -0.203
 SA23  SA22  27.831   0.398
 SA24  SA12  93.210   0.423
 SA24  SA13  76.713  -0.290
 SA24  SA14  55.231  -0.282
 SA24  SA17  49.516  -0.193
 SA24  SA20  24.057   0.631
 SA24  SA22  36.176   2.291
 SA24  SA23   9.143  -1.975
 SA25  SA12 101.385  -2.001
 SA25  SA13  86.218   0.370
 SA25  SA14  94.928   1.758
 SA25  SA17  48.707   1.548
 SA25  SA20  60.459  -0.118
 SA25  SA22  37.853   1.218
 SA25  SA23  64.945   1.304
 SA25  SA24  72.390   0.728
 SA26  SA12 113.655  -0.292
 SA26  SA13 100.043  -2.004
 SA26  SA14 113.281  -0.549
 SA26  SA17  66.250  -0.258
 SA26  SA20  81.215  -1.396
 SA26  SA22  59.068  -0.957
 SA26  SA23  86.368  -0.753
 SA26  SA24  93.832   0.224
 SA26  SA25  21.447   0.881
 SA27  SA12 102.422   0.493
 SA27  SA13  86.013   1.553
 SA27  SA14  88.579   0.560
 SA27  SA17  45.708  -0.853
 SA27  SA20  50.371  -0.740
 SA27  SA22  27.191   0.486
 SA27  SA23  51.863   0.648
 SA27  SA24  58.483   0.344
 SA27  SA25  16.063   0.685
 SA27  SA26  36.413  -0.909
 SA29  SA12 103.457   0.105
 SA29  SA13  86.254   0.395
 SA29  SA14  70.062  -2.686
 SA29  SA17  52.140  -0.877
 SA29  SA20  31.839   0.184
 SA29  SA22  30.882   0.736
 SA29  SA23  18.515  -1.705
 SA29  SA24  17.849   3.378
 SA29  SA25  61.399   1.722
 SA29  SA26  82.404  -0.185
 SA29  SA27  46.028   0.132
 SA30  SA12 112.064   0.527
 SA30  SA13  95.661   0.547
 SA30  SA14  72.622  -0.167
 SA30  SA17  67.097  -1.070
 SA30  SA20  42.591  -0.664
 SA30  SA22  49.436   0.691
 SA30  SA23  26.994  -0.704
 SA30  SA24  18.965   0.413
 SA30  SA25  81.428  -0.510
 SA30  SA26 102.377   1.990
 SA30  SA27  65.972   2.099
 SA30  SA29  20.035   1.014
  ARJ  SA12  78.862   1.782
  ARJ  SA13  62.098  -0.203
  ARJ  SA14  65.152   0.145
  ARJ  SA17  21.456   0.907
  ARJ  SA20  30.759  -2.829
  ARJ  SA22  11.460   0.962
  ARJ  SA23  38.544   1.720
  ARJ  SA24  47.212   0.418
  ARJ  SA25  30.325  -1.894
  ARJ  SA26  50.557  -0.500
  ARJ  SA27  24.373  -0.536
  ARJ  SA29  42.169   0.520
  ARJ  SA30  60.896   0.414
 DUNU  SA12  54.719  -0.869
 DUNU  SA13  39.128  -0.809
 DUNU  SA14  19.730   0.074
 DUNU  SA17  31.403  -0.125
 DUNU  SA20  21.652   3.233
 DUNU  SA22  42.639  -1.510
 DUNU  SA23  33.500   2.089
 DUNU  SA24  38.908   0.223
 DUNU  SA25  76.918  -0.213
 DUNU  SA26  96.256  -1.663
 DUNU  SA27  69.424  -0.065
 DUNU  SA29  51.772   0.138
 DUNU  SA30  57.521   0.721
 DUNU   ARJ  46.692   0.886
 ERTU  SA12  75.989   1.146
 ERTU  SA13  61.867  -2.190
 ERTU  SA14  32.486   0.484
 ERTU  SA17  50.419  -0.474
 ERTU  SA20  28.054   0.617
 ERTU  SA22  50.571  -0.315
 ERTU  SA23  27.475   0.236
 ERTU  SA24  26.698   0.633
 ERTU  SA25  88.292   1.717
 ERTU  SA26 109.211   0.864
 ERTU  SA27  77.132  -0.533
 ERTU  SA29  44.163   1.331
 ERTU  SA30  41.434   0.265
 ERTU   ARJ  58.813   0.707
 ERTU  DUNU  23.843   0.698
 HARU  SA12  81.693  -0.975
 HARU  SA13  65.486  -2.396
 HARU  SA14  43.413  -1.259
 HARU  SA17  42.228  -0.184
 HARU  SA20  16.236   0.376
 HARU  SA22  35.316  -0.289
 HARU  SA23  10.088  -0.306
 HARU  SA24  11.914   0.357
 HARU  SA25  73.098   0.207
 HARU  SA26  94.380  -0.335
 HARU  SA27  60.854   0.526
